ref,transcription,orthography,translation,translation_ru
tŝ’ʷ,aˈqʰatŝʷɾa,ахъа́чIвра,to stitch,строчить (о шитье)
tŝ’ʷ,jaˈtŝʷa,йачIва́,star,звезда
tŝ’ʷ,jaˈtŝ’ʷa,йачIва́,grey,серый
tŝ’ʷ,kʷajˈtŝ’ʷa,квайчIва́,black,черный
tŝ’ʷ,mətʂ’ʷ,мычIв,shy,застенчивый
tŝ’ʷ,pʰətŝ’ʷ,пычIв,initial,начальный
tŝ’ʷ,waˈtŝ’ʷə,уачIвы́,tomorrow,завтра
tŝ’ʷ,tŝ’ʷɾa,чIвра,to turn sour,прокисать
tŝ’ʷ,tŝ’ʷə,чIвы,bolt,засов
tŝʷ,tŝʷə,чвы,bullock,вол
tŝʷ,ˈtŝʷaẑʷaɾa,чва́жвара,to speak,говорить
tŝʷ,anˈtŝʷaʑ,анчва́жь,birthmark,родимое пятно
tŝʷ,ˈaqʰatŝʷaɕaɾa,а́хъачващара,to find respectable,признать достойным себя
tŝʷ,aˈtŝʷədzɾa,ачвы́дзра,to lose something,потерять что-то
tŝʷ,bnatŝʷ,бначв,aurochs,зубр (лесной бык)
tŝʷ,tŝʷa,чва,skin,кожа
tŝʷ,tŝʷɾa,чвра,to cut (wood),тесать
tŝʷ,tŝʷa,чва,color,цвет
tŝʷ,dzətŝʷ,дзычва,swan,лебедь
tŝʷ,ẑʷtŝʷa,жвчва,overdone (about food),переваренный (слишком долго варили)
tŝʷ,ˈq’ətŝʷɡa,къы́чвга,hatchet,тесак
tŝʷ,maˈtŝʷə,мачвЫ,finger,палец
tŝʷ,maˈtŝʷəsɾa,мачвы́сра,glare (about lightning),cверкать (о молнии)
tŝʷ,anˈtŝʷa,анчва́,God,Бог
tŝʷ,ˈnətŝʷa,ны́чва,hemp,конопля
tŝʷ,pʰəɾtŝʷ,пы́рчв,mane,грива
tŝʷ,ˈpʂatŝʷɟa,пша́чвгьа,strong wind,сильный ветер
tŝʷ,tŝʷaˈɾa,чвара́,dream,сон
tŝʷ,"tʕaˈtŝʷa, tħaˈtŝʷa","тгIачва́, тхIачва́",family,семья
tŝʷ,qʰətŝʷ,хъы́чв,bird comb,гребень у птиц
tŝʷ,tŝʷa,чва,skin,кожа
tŝʷ,tŝʷaˈba,чваба́,wax,воск
tŝʷ,tŝʷaˈħʷa,чвахIва́,stripe,полоса
tŝʷ,tŝʷbza,чвбза,lover,любовник
tŝʷ,tŝʷɟa,чвгьа,evil,злой
tŝʷ,tŝʷcʰaɕ,чвкьа́щ,shabby,облезлый
tŝʷ,tŝʷts’aˈɾa,чвцIара́,to scatter,"развешивать, разбрасывать (например, сено)"
tŝʷ,tŝʷəʂ,чвыш,pale,бледный
tʂ,alaɾˈtʂa,алартшА,alloyed,сплавленный
tʂ,laˈtʂa,латшА,ferment,закваска
tʂ,maˈtʂa,матшА,dishes,посуда
tʂ,pslaˈtʂa,пслатша́,fish,рыба
tʂ,ˈakʷtʂaɡa,а́квтшага,watering-pot,лейка
tʂ,tʰatʂaˈɾa,татшара́,to pour,наливать
tʂ,tʂa,тша,hay,сено
tʂ’,atʂ’ʂaˈɾa,ашIшарА,to be afraid of,бояться чего-то
tʂ’,ˈakʰʷtʂ’aɾa,а́квшIара,to sit down,садиться
tʂ’,aˈtʂ’əja,ашIы́йа,what,что (тебе надо)?
tʂ’,bəlˈtʂ’ə,былшIы́,fuel,топливо
tʂ’,dʑtʂ’ə,джьшIы,oak,дуб
tʂ’,nq’ʷɡaˈtʂ’ə,нкъвгашIы́,sick person,лежачий больной
tʂ’,pssʕaˈtʂ’ə,пссгIашIы́,bird,птица
tʂ’,χaˈtʂ’ə,хашIы́,task,задание
ẑʷ,ẑʷə,жвы,cow,корова
ẑʷ,aˈẑʷa,ажва́,word,слово
ẑʷ,baẑʷ,бажв,abundant,богатый (урожай)
ẑʷ,ˈɡʷəẑʷk’ɾa,гвыж́вкIра,to be angry,"сердиться, гнев"
ẑʷ,ẑʷba,жвба,nine,девять
ẑʷ,ẑʷʕʷaˈqʰa,жвгIвахъа́,shoulder,плечо
ẑʷ,ẑʷʕʷa,жвгIва,cow that didn’t gave birth,нестеленная корова
ẑʷ,ẑʷʕʷand,жвгIванд,sky,небо
ẑʷ,ẑʷp’a,жвпIа,thick,густой
ẑʷ,ẑʷɾa,жвра,drink,выпить
ẑʷ,ẑʷts’ə,жвцIы,swallow,ласточка
ẑʷ,ts’əẑʷ,цIыжв,tick,клещ
ẑʷ,χts’əẑʷ,хцIыжв,accidental bullet,шальная пуля
ẑʷ,ˈtŝʷaẑʷaɾa,чва́жвара,to speak,говорить
ẑʷ,ˈɕaẑʷəʕʷ,ща́жвыгIв,bloodsucker,кровопийца
ẑʷ,pʰəẑʷˈbana,пыжвба́на,hedgehog,ежик
ẑʷ,ẑʷɾa,жвра,"to boil, to drink","варить, пить"
ẑʷ,ẑʷtŝʷa,жвчва,overdone (about food),переваренный (слишком долго варили)
ʐ,aˈʐə,ажы,old,старый
ʐ,ˈʕatʂ’ʐaɾa,гIа́шIжара,to tear off,срывать
ʐ,ʐaˈba,жаба́,ten,десять
ʐ,ˈʐʐaɡa,жжа́га,harrow,борона
ʐ,tʰaʐ,таж,grandmother,бабушка
ʐ,wasaˈɾaʐ,уасара́ж,wise,мудрый
ʐ,wʐə,ужы́,now,сейчас
